# Append-only ledger: preserve existing rows; corrections and later evidence belong in new rows.
id,date,hypothesis,mathematical_motivation,exact_predictions,cheapest_decisive_test,evidence_for,evidence_against,status,artifact_paths,next_action
H001,2026-08-11,Exact enumeration and transfer propagation implement the same finite Ising model,Independent engines should produce the same broken-bond polynomial under the fixed boundary conventions,Coefficient identity on every shared test lattice,Compare the smallest periodic and mixed-boundary boxes coefficient-by-coefficient,17 exact comparisons pass,None in tested domain,confirmed,experiments/e01_validate_enumeration.py;tests/test_tm_vs_enumeration.py,Keep as regression gate for all convention changes
H002,2026-08-11,Kaufman's four-sector formula reproduces finite 2D torus partition functions,This is the finite-size control behind Onsager solvability,Kaufman and exact-integer transfer values agree at arbitrary precision,Evaluate a few anisotropic and isotropic tori at 60 digits,Eight cases agree; maximum relative error 3.63867276317e-60,Nearby wrong sector signs and grid assignments fail,confirmed,notes/onsager_derivation.md;results/onsager/onsager_2d.json;tests/test_onsager.py,Retain as the control for proposed 3D operator formulas
H003,2026-08-11,The parity-resolved 2D transfer logarithm is Majorana-quadratic,Kaufman's solution closes in a finite-dimensional fermion algebra,All Pauli coefficients outside the constant and bilinear Majorana span vanish,Compute log V in parity sectors and project onto the Majorana basis,Maximum off-bilinear coefficient 1.246e-15 for n=3 through 6,No exact symbolic all-n proof was attempted here,provisionally_supported,notes/onsager_derivation.md;results/onsager/onsager_2d.json,Use as a numerical diagnostic rather than a substitute for proof
H004,2026-08-11,Finite-lattice Möbius inversion yields stable exact simple-cubic HT/LT coefficients,Connected clusters stabilize once all bounding boxes within the order budget are included,Old coefficients remain unchanged when the box family and order are enlarged,Extend by several orders and compare every prefix coefficient,HT reaches v^20 and LT reaches x^28; direct GF(2) and independent slab prefixes agree,Finite order does not imply a closed form,confirmed,notes/flm_derivation.md;results/series/extended_sc_ht_free_energy.json;results/series/extended_sc_lt_free_energy.json;results/series/lt_independent_check.json,Seek a genuinely different exact check beyond the current prefixes
H005,2026-08-11,Finite ferromagnetic field zeros lie on the Lee--Yang unit circle,The Lee--Yang theorem predicts |z|=1 for every finite ferromagnetic Ising graph,Correct root count and |z|-1=0 within recorded multiprecision residual,Root exact field polynomials on the smallest nontrivial 3D boxes,All checks pass on 13 lattices through 4x4x4; largest 64-site radial residual 9.1044993726259e-92,This is finite-volume verification and not a new proof of the theorem,confirmed,notes/lee_yang.md;results/lee_yang/lee_yang_analysis.json;tests/test_lee_yang.py,Use larger lattices only if a controlled scaling question is specified
H006,2026-08-11,The available small Lee--Yang lattices determine a reliable edge exponent,Finite-size scaling of the first zero and near-edge density might reveal the thermodynamic edge singularity,The procedure should reproduce the known 2D control before being trusted in 3D,Apply the same estimator to 2D sizes with known behavior,Qualitative zero-angle motion is visible,The 2D control is too small and density fits are unstable,falsified,notes/lee_yang.md;results/lee_yang/lee_yang_analysis.json,Do not quote an edge exponent without larger sizes and a passing 2D validation
H007,2026-08-11,Z.-D. Zhang's 2007 four-fold integral gives the simple-cubic critical coupling,The claimed singularity condition was presented as an exact solution,Its critical root must equal the independently known K_c,Evaluate the claimed condition at high precision without fitting,A real claimed root is reproduced,K_c=0.2406059125298... differs from 0.221654626(5) by about 3.79 million quoted sigma,falsified,notes/lit_claimed_solutions.md;notes/falsification.md;results/falsification/falsification.json,No further work unless a materially different formula is supplied
H008,2026-08-11,Z.-D. Zhang's 2007 magnetisation expansion is exact,An exact free-energy proposal should reproduce independently enumerated LT coefficients,The u^6 coefficient must equal the exact graph-expansion coefficient,Compare the first disputed nonzero coefficient,None,Claim gives -18 while exact enumeration gives +14,falsified,notes/lit_claimed_solutions.md;results/falsification/falsification.json,Closed
H009,2026-08-11,Degang Zhang's 2021 critical line is a physical simple-cubic invariant,Cubic isotropy requires invariance under permutations of J1 J2 J3,The critical beta is unchanged by all six coupling permutations,Permute one anisotropic triple and solve each claimed equation,None; only the isotropic benchmark is near the accepted value,Six predicted roots split into three incompatible values,falsified,notes/lit_claimed_solutions.md;notes/falsification.md;results/falsification/falsification.json,Closed unless a rotation-invariant replacement is supplied
H010,2026-08-11,Degang Zhang's 2021 free energy has the exact simple-cubic HT expansion,An exact thermodynamic free energy must reproduce the first connected plaquette term,The K^4 coefficient is +3,Expand symbolically through the first nontrivial graph order,Constant and K^2 terms coincide,Claim predicts -3 instead of +3 at K^4,falsified,notes/lit_claimed_solutions.md;results/falsification/falsification.json,Closed
