"id","date","research_track","precise_hypothesis","motivation","mathematical_predictions","empirical_predictions","cheapest_decisive_test","development_data","held_out_data","evidence_for","evidence_against","status","artifact_paths","next_action"
"H001","2026-08-11","C","The PBB commutation condition is symmetry of M = A C^T + B D^T over GF(2), not M = 0.","An internal summary of the seed paper stated M = 0 while the reference implementation tests symmetry. Only one can be right, and the primary source must decide it.","H_x H_z^T = [[A C^T + B D^T ; AB+BA],[0;0]]. AB=BA because R is commutative, so validity <=> M + M^T = 0 <=> M symmetric. M=0 is strictly stronger and would exclude valid codes.","All catalogue codes satisfy symmetry; some violate M = 0, so a source stating M = 0 would be wrong.","Derive the symplectic Gram matrix analytically; then evaluate both predicates on all 368 catalogue codes using an independent construction.","qcode-discovery campaign7 catalogue (368 codes)","7 Bravyi BB instances (C=D=0)","Analytic derivation (Lemma 0). Independent rebuild of all 368 codes: zero commutation failures under the symmetry test. arXiv:2606.02418v1 Sec III.2 states the symmetry condition verbatim, so the paper agrees with our derivation.","none","CONFIRMED","proofs/pbb_structure.md; src/qec_research/codes/bicycle.py","Done: primary source quoted. No discrepancy exists; our own paraphrase was at fault (see failed_routes FR-006)."
"H002","2026-08-11","C","k(PBB) = k(BB(A,B)) - delta, with delta = dim of {u[C D] : u H_X = 0} modulo rowspace(H_Z).","If true the perturbation can only remove logical qubits, never add them, which bounds the whole PBB design space.","rank(H_PBB) = rank(H_X) + rank(H_Z) + delta, via the projection (u,w)H -> u H_X whose kernel is exactly the pure-Z subgroup S_Z.","Catalogue k equals k_BB - delta for every entry, and agrees with a direct symplectic rank.","Compute all three quantities independently for all 368 catalogue codes.","368 catalogue codes","7 Bravyi BB instances","368/368 exact agreement. delta distribution {0:213; 2:115; 4:34; 6:2; 8:2; 10:2}.","none","CONFIRMED","src/qec_research/codes/pbb_theory.py; results/processed/exp006_parent_domination.json","Use as the basis of Theorem 1."
"H003","2026-08-11","C","Six catalogue PBB [[144,12,12]] codes marked EXACT possess a nontrivial weight-6 logical operator, so their distance claim is false.","An early audit found weight-6 vectors in ker(H_X) apparently outside the Z-stabilizer span.","If true then d <= 6 for those codes, contradicting the reported d = 12.","CP-SAT returns a weight-6 witness that passes an independent is_logical check.","Re-test each witness with StabilizerCode.is_logical: symplectic product against every row plus row-space membership.","6 catalogue codes","none","none","Every witness FAILED the independent check - each lies in the stabilizer group. Root cause: a pure-Z candidate must be paired against the x-part of a logical basis element, not against a Z-type representative.","FALSIFIED","notes/failed_routes.md FR-001; src/qec_research/distance/sectors.py","Claim retracted. Corrected solver written and controlled on [[72,12,6]] -> 6 and [[108,8,10]] -> 10."
"H004","2026-08-11","C","For delta = 0 the nontrivial pure-Z logicals of the PBB code are identical to those of its parent BB code, hence d(PBB) <= d_Z(BB(A,B)).","Follows from H002 plus the fact that the pure-Z centraliser is ker(H_X) regardless of C and D.","Pure-Z centralisers coincide (Prop 1); pure-Z stabilizers coincide when delta = 0 (Prop 2); so the minimum pure-Z logical weights are EQUAL, not merely ordered.","min pure-Z logical weight of PBB 12_6_0187 equals that of its parent exactly.","Two certified CP-SAT minimisations, both required to reach status OPTIMAL.","PBB 12_6_0187 and its parent","controls [[72,12,6]] and [[108,8,10]]","Both returned 12 with CP-SAT status OPTIMAL (1086 s and 272 s). Controls reproduced the known exact distances 6 and 10.","none","CONFIRMED","proofs/pbb_structure.md Theorem 1","Extend to Theorem 2 (CSS shadow) covering delta > 0."
"H005","2026-08-11","C","Every bivariate-bicycle code satisfies d_X = d_Z.","Needed to turn Theorem 1's bound on d_Z into a bound on the parent's full distance.","The qubit permutation sigma mapping (L,g) to (R,-g) carries rowspace(H_X) onto rowspace(H_Z): swapping halves gives [B A] and lattice inversion transposes each circulant.","Row-space equality after applying sigma, for every BB code tested.","Rank identities rank([sigma(H_X) ; H_Z]) = rank(H_Z) and its mirror.","7 Bravyi instances","368 catalogue parents","375/375 codes pass both rank tests. Independently exact CP-SAT gave d_X = d_Z for [[72,12,6]] [[90,8,10]] [[108,8,10]] and [[144,12,12]].","none","CONFIRMED","proofs/pbb_structure.md Prop 4","Combine with H004 into Corollary 1 (parent domination)."
"H006","2026-08-11","A","A conflict-free (edge-coloured) gate schedule suffices for a one-ancilla syndrome-extraction circuit.","Standard scheduling intuition: never use a qubit twice in a layer.","Konig colouring attains Delta = max(max check weight, max qubit degree) layers, which would be optimal.","A noiseless circuit built from a Konig colouring fires zero detectors.","Build the Steane circuit from a Konig colouring and sample 200 noiseless shots.","Steane [[7,1,3]]","[[5,1,3]] and Shor [[9,1,3]]","none","1402 detector firings in 200 noiseless shots; 5 pairs violate the anticommuting-overlap parity rule.","FALSIFIED","notes/failed_routes.md FR-002","Replaced by Lemma C1 and a parity-enforcing CP-SAT scheduler."
"H007","2026-08-11","A","Correct one-ancilla scheduling requires the count of j in J(a,b) with a acting before b to be even for every pair, where J(a,b) is the anticommuting shared support.","C-P and C-Q on a shared target differ by a CZ between the two ancillas when P and Q anticommute, and CZ squared is the identity.","The criterion is exactly necessary and sufficient for the circuit to measure the intended generators.","A scheduler enforcing it gives zero noiseless detector firings on CSS and non-CSS codes alike.","CP-SAT with reified order variables and an XOR parity constraint; test on Steane, Shor and the non-CSS [[5,1,3]].","Steane; [[5,1,3]]; Shor","BB [[72,12,6]] through [[288,12,18]]; PBB [[144,12,12]]","Zero detector firings on all toy codes and on every BB and PBB circuit built, 4000 noiseless shots each.","none","CONFIRMED","proofs/pbb_structure.md Lemma C1; src/qec_research/circuits/scheduling.py","Adopt as the definition of a valid schedule throughout."
"H008","2026-08-11","A","The parity criterion alone forces syndrome depth 7 for weight-6 BB codes within the translation-invariant (orbit) schedule class.","Bravyi et al. report a depth-7 cycle while the combinatorial lower bound is only 6; if the parity rule closes that gap in the searched class, depth 7 is derived rather than assumed there.","TI-model T = 6 infeasible and T = 7 achievable for every weight-6 BB code.","CP-SAT on the orbit model reports INFEASIBLE at T=6 and returns a verified schedule at T=7.","Run the orbit-model scheduler at T=6 then T=7 for four BB instances.","[[72,12,6]]; [[108,8,10]]","[[144,12,12]]; [[288,12,18]]","All four: TI T=6 proven INFEASIBLE (not a timeout); T=7 valid with zero noiseless detector firings. Scope caught by the 2026-08-13 audit: the exp004 run is orbit-restricted, so no unrestricted depth-6 exclusion is ours; ASC (arXiv:2603.21499) certifies that exclusion externally.","none","CONFIRMED","proofs/pbb_structure.md Theorem C3; results/raw/exp004_circuit_cost_survey.json","Report as a TI-class derivation of the published depth-7 cycle; cite ASC for the unrestricted exclusion."
"H009","2026-08-11","A","83 of 318 catalogue PBB codes admit no one-ancilla syndrome-extraction schedule at any depth.","CP-SAT returned INFEASIBLE at every probed depth for those codes.","If the obstruction is intrinsic, the unrestricted model is also infeasible.","The general model reproduces INFEASIBLE on the smallest such codes.","Re-run the three smallest orbit-unschedulable codes on the unrestricted model.","3 smallest orbit-unschedulable codes","none","none","All three ARE schedulable in the general model with status OPTIMAL: phase2_26 at depth 7; phase2_21 and phase2_44 at depth 9. Each verified with zero detector firings in 4000 noiseless shots.","FALSIFIED","notes/failed_routes.md FR-005; results/processed/exp009_general_schedule_nogo.json","Restated as Proposition C5 scoped to translation-invariant schedules; depth separation re-derived from Proposition C2."
"H010","2026-08-11","A","Every catalogue PBB [[144,12,12]] needs strictly more syndrome depth than the CSS Gross code, for ANY one-ancilla schedule measuring ANY generating set of its stabiliser group: the separation is basis-independent, a property of the code.","Proposition C2 bounds depth below by the weight of the measured generators; EXP-023 removes the generating-set dependence by bounding the light span V_7 of the whole group.","For every member, rank(V_6)=rank(V_7)=66 < 132 = n-k, so every generating set contains a generator of symplectic weight >= 8; hence depth >= 8 > 7 = Gross for every one-ancilla schedule.","CP-SAT theorem gate 'exists weight<=7 element with nonzero X-part' returns INFEASIBLE for all 14; pure-Z subgroup rank is exactly 66; Gross control has rank(V_5)=0 and weight-6 rows spanning 132.","Certified-complete enumeration of weight<=7 X-codewords plus exact GF(2) coset-budget tests; independent monolithic encoding as cross-check.","14 PBB [[144,12,12]] codes","CSS Gross code (control)","EXP-023: all 14 gates INFEASIBLE with completeness certificates; r_Zsub=66 by three independent rank routes; positive SAT controls pass; every witness and rank re-verified in physical 288-bit space; w* exactly 8 for 4 members, in [8,9] for three and [8,10] for seven (does not affect the depth bound). Gross w*=6 exact. The independent monolithic CP-SAT encoding was run on benchmark member 12_6_0193 only, where it agreed.","none","CONFIRMED","proofs/pbb_structure.md Theorems C4 + C6; results/processed/exp023_light_gensets.json; results/raw/exp023_independent_verification.json; tests/test_exp023_light_gensets.py","Feed the basis-independent separation into the paper draft; remaining open piece is the multi-ancilla model (EXP-024), not the generating set."
